id,Hectare,Date,Age,Primary Fur Color,Highlight Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions
0,37F,10142018,,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,
1,21B,10192018,,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,
2,11B,10142018,,Gray,,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,False,False,
3,32E,10172018,Adult,Gray,,,,False,False,False,True,True,,False,False,False,False,False,False,False,True,
4,13E,10172018,Adult,Gray,Cinnamon,Above Ground,on tree stump,False,False,False,False,True,,False,False,False,False,False,False,False,False,
5,11H,10102018,Adult,Cinnamon,White,,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
6,36H,10102018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
7,33F,10082018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
8,21C,10062018,Adult,Gray,,Ground Plane,,False,False,False,False,False,,False,False,False,True,True,False,False,False,
9,11D,10102018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,False,grooming,False,False,False,False,False,False,True,False,
10,20B,10132018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
11,22F,10142018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,True,False,
12,36I,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
13,05C,10102018,Adult,Cinnamon,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False,
14,07H,10062018,Adult,Gray,Cinnamon,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,True,False,
15,16C,10182018,Adult,Gray,"Cinnamon, White",Above Ground,,True,False,False,True,True,,False,False,False,False,False,False,True,False,
16,14E,10082018,Adult,Gray,,Ground Plane,,False,False,False,False,True,walking,False,False,False,False,False,False,True,False,
17,32A,10132018,Juvenile,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
18,33F,10082018,Adult,Gray,,Ground Plane,,False,False,False,False,False,moving slowly,False,False,False,False,False,False,True,False,
19,17F,10072018,Adult,Gray,White,Above Ground,,True,False,False,False,False,,False,False,False,True,False,False,True,False,
20,16I,10082018,Adult,Cinnamon,"Gray, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
21,12I,10132018,Adult,Cinnamon,White,Ground Plane,on tree roots,False,False,False,False,False,sitting,False,False,False,False,True,False,False,True,
22,32F,10082018,Adult,Gray,,Ground Plane,,True,True,False,False,True,,False,False,False,False,False,False,True,False,
23,25A,10132018,,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
24,15E,10132018,Adult,Gray,White,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False,
25,39G,10132018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False,
26,29I,10072018,,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False,
27,07E,10062018,Adult,Gray,,Ground Plane,under a tree,False,False,False,True,False,,False,False,False,False,False,False,False,False,
28,17C,10132018,Adult,Gray,,Ground Plane,,False,False,False,True,False,eating (ate upside down on a tree — #jealous),False,False,False,False,False,False,True,False,
29,10A,10142018,Adult,Gray,"Black, Cinnamon, White",Ground Plane,in b/w trees,False,False,False,False,True,,False,False,False,False,True,False,True,False,
30,28A,10072018,Adult,Cinnamon,,Ground Plane,,True,False,False,False,True,,False,False,False,False,True,False,False,True,
31,22F,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False,
32,12B,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,True,False,False,False,,False,False,False,True,False,False,True,False,
33,18A,10182018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
34,33H,10192018,Juvenile,Gray,Cinnamon,Ground Plane,,False,False,False,False,False,wrestling with mother,False,False,False,False,False,False,False,False,
35,36H,10082018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
36,29C,10072018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
37,38C,10142018,Adult,Black,,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,True,False,False,
38,31H,10082018,Juvenile,Gray,Cinnamon,Above Ground,,True,False,True,False,False,,False,False,False,False,True,False,True,False,
39,08H,10172018,Adult,Gray,Cinnamon,Above Ground,,False,True,False,True,False,,False,False,False,False,False,False,True,False,
40,34F,10072018,Adult,Gray,White,Above Ground,,True,False,True,False,False,,False,False,False,False,False,False,False,True,
41,13H,10102018,Adult,Gray,,Above Ground,tree,False,False,False,False,True,,False,False,False,False,False,False,True,False,
42,32E,10072018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
43,35C,10072018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
